0,0.148,0.422,0,0,0,0,0,0.0348,0,0.241,0.098
0.098,0,0.148,0.422,0,0,0,0,0,0.0348,0,0.241
0.241,0.098,0,0.148,0.422,0,0,0,0,0,0.0348,0
0,0.241,0.098,0,0.148,0.422,0,0,0,0,0,0.0348
0.0348,0,0.241,0.098,0,0.148,0.422,0,0,0,0,0
0,0.0348,0,0.241,0.098,0,0.148,0.422,0,0,0,0
0,0,0.0348,0,0.241,0.098,0,0.148,0.422,0,0,0
0,0,0,0.0348,0,0.241,0.098,0,0.148,0.422,0,0
0,0,0,0,0.0348,0,0.241,0.098,0,0.148,0.422,0
0,0,0,0,0,0.0348,0,0.241,0.098,0,0.148,0.422
0.422,0,0,0,0,0,0.0348,0,0.241,0.098,0,0.148
0.148,0.422,0,0,0,0,0,0.0348,0,0.241,0.098,0
