0.058,0.072,0.185,0.101,0,0,0.008,0.016,0.025,0.045,0.314,0.072
0.072,0.058,0.072,0.185,0.101,0,0,0.008,0.016,0.025,0.045,0.314
0.314,0.072,0.058,0.072,0.185,0.101,0,0,0.008,0.016,0.025,0.045
0.045,0.314,0.072,0.058,0.072,0.185,0.101,0,0,0.008,0.016,0.025
0.025,0.045,0.314,0.072,0.058,0.072,0.185,0.101,0,0,0.008,0.016
0.016,0.025,0.045,0.314,0.072,0.058,0.072,0.185,0.101,0,0,0.008
0.008,0.016,0.025,0.045,0.314,0.072,0.058,0.072,0.185,0.101,0,0
0,0.008,0.016,0.025,0.045,0.314,0.072,0.058,0.072,0.185,0.101,0
0,0,0.008,0.016,0.025,0.045,0.314,0.072,0.058,0.072,0.185,0.101
0.101,0,0,0.008,0.016,0.025,0.045,0.314,0.072,0.058,0.072,0.185
0.185,0.101,0,0,0.008,0.016,0.025,0.045,0.314,0.072,0.058,0.072
0.072,0.185,0.101,0,0,0.008,0.016,0.025,0.045,0.314,0.072,0.058
